State,1_31_1996,2_29_1996,3_31_1996,4_30_1996,5_31_1996,6_30_1996,7_31_1996,8_31_1996,9_30_1996,10_31_1996,11_30_1996,12_31_1996,1_31_1997,2_28_1997,3_31_1997,4_30_1997,5_31_1997,6_30_1997,7_31_1997,8_31_1997,9_30_1997,10_31_1997,11_30_1997,12_31_1997,1_31_1998,2_28_1998,3_31_1998,4_30_1998,5_31_1998,6_30_1998,7_31_1998,8_31_1998,9_30_1998,10_31_1998,11_30_1998,12_31_1998,1_31_1999,2_28_1999,3_31_1999,4_30_1999,5_31_1999,6_30_1999,7_31_1999,8_31_1999,9_30_1999,10_31_1999,11_30_1999,12_31_1999,1_31_2000,2_29_2000,3_31_2000,4_30_2000,5_31_2000,6_30_2000,7_31_2000,8_31_2000,9_30_2000,10_31_2000,11_30_2000,12_31_2000,1_31_2001,2_28_2001,3_31_2001,4_30_2001,5_31_2001,6_30_2001,7_31_2001,8_31_2001,9_30_2001,10_31_2001,11_30_2001,12_31_2001,1_31_2002,2_28_2002,3_31_2002,4_30_2002,5_31_2002,6_30_2002,7_31_2002,8_31_2002,9_30_2002,10_31_2002,11_30_2002,12_31_2002,1_31_2003,2_28_2003,3_31_2003,4_30_2003,5_31_2003,6_30_2003,7_31_2003,8_31_2003,9_30_2003,10_31_2003,11_30_2003,12_31_2003,1_31_2004,2_29_2004,3_31_2004,4_30_2004,5_31_2004,6_30_2004,7_31_2004,8_31_2004,9_30_2004,10_31_2004,11_30_2004,12_31_2004,1_31_2005,2_28_2005,3_31_2005,4_30_2005,5_31_2005,6_30_2005,7_31_2005,8_31_2005,9_30_2005,10_31_2005,11_30_2005,12_31_2005,1_31_2006,2_28_2006,3_31_2006,4_30_2006,5_31_2006,6_30_2006,7_31_2006,8_31_2006,9_30_2006,10_31_2006,11_30_2006,12_31_2006,1_31_2007,2_28_2007,3_31_2007,4_30_2007,5_31_2007,6_30_2007,7_31_2007,8_31_2007,9_30_2007,10_31_2007,11_30_2007,12_31_2007,1_31_2008,2_29_2008,3_31_2008,4_30_2008,5_31_2008,6_30_2008,7_31_2008,8_31_2008,9_30_2008,10_31_2008,11_30_2008,12_31_2008,1_31_2009,2_28_2009,3_31_2009,4_30_2009,5_31_2009,6_30_2009,7_31_2009,8_31_2009,9_30_2009,10_31_2009,11_30_2009,12_31_2009,1_31_2010,2_28_2010,3_31_2010,4_30_2010,5_31_2010,6_30_2010,7_31_2010,8_31_2010,9_30_2010,10_31_2010,11_30_2010,12_31_2010,1_31_2011,2_28_2011,3_31_2011,4_30_2011,5_31_2011,6_30_2011,7_31_2011,8_31_2011,9_30_2011,10_31_2011,11_30_2011,12_31_2011,1_31_2012,2_29_2012,3_31_2012,4_30_2012,5_31_2012,6_30_2012,7_31_2012,8_31_2012,9_30_2012,10_31_2012,11_30_2012,12_31_2012,1_31_2013,2_28_2013,3_31_2013,4_30_2013,5_31_2013,6_30_2013,7_31_2013,8_31_2013,9_30_2013,10_31_2013,11_30_2013,12_31_2013,1_31_2014,2_28_2014,3_31_2014,4_30_2014,5_31_2014,6_30_2014,7_31_2014,8_31_2014,9_30_2014,10_31_2014,11_30_2014,12_31_2014,1_31_2015,2_28_2015,3_31_2015,4_30_2015,5_31_2015,6_30_2015,7_31_2015,8_31_2015,9_30_2015,10_31_2015,11_30_2015,12_31_2015,1_31_2016,2_29_2016,3_31_2016,4_30_2016,5_31_2016,6_30_2016,7_31_2016,8_31_2016,9_30_2016,10_31_2016,11_30_2016,12_31_2016,1_31_2017,2_28_2017,3_31_2017,4_30_2017,5_31_2017,6_30_2017,7_31_2017,8_31_2017,9_30_2017,10_31_2017,11_30_2017,12_31_2017,1_31_2018,2_28_2018,3_31_2018,4_30_2018,5_31_2018,6_30_2018,7_31_2018,8_31_2018,9_30_2018,10_31_2018,11_30_2018,12_31_2018,1_31_2019,2_28_2019,3_31_2019,4_30_2019,5_31_2019,6_30_2019,7_31_2019,8_31_2019,9_30_2019,10_31_2019,11_30_2019,12_31_2019,1_31_2020,2_29_2020,3_31_2020,4_30_2020,5_31_2020,6_30_2020,7_31_2020,8_31_2020,9_30_2020,10_31_2020,11_30_2020,12_31_2020,1_31_2021,2_28_2021
New Jersey,163239,162938,162722,162311,161987,161693,161484,161426,161465,161563,161640,161746,161996,162367,162824,163206,163642,164152,164666,165082,165435,165752,166191,166666,167068,167417,167647,167970,168220,168519,168806,169211,169740,170448,171097,171779,172391,173177,174083,175108,176240,177368,178617,179661,180649,181536,182747,184091,185573,186958,188340,189717,191041,192423,193824,195421,197083,198741,200310,201861,203449,205249,207061,209002,210902,212862,214796,216667,218617,220709,222814,224896,226985,229175,231463,233740,236063,238482,241055,244056,247339,250817,254231,257644,261044,264348,267532,270632,273695,276803,279955,283002,285808,288368,290928,293644,296573,299680,303057,306399,310074,313734,317637,321540,325486,329480,333431,337352,341289,344916,348423,352142,356033,360136,364155,368249,372225,376313,380375,384317,387572,390512,393024,395505,397643,399488,400652,401025,400940,400270,399456,398171,396820,395642,395130,394937,394516,393252,391556,389760,388151,386707,385217,383532,381733,379867,377373,374262,370680,367573,364838,362284,359563,356523,353164,350010,347357,344805,342334,339532,337061,334736,332818,331270,330109,329431,329038,328851,328316,327713,326945,326604,326260,325829,325035,323709,321870,319694,317664,315696,313760,311656,309412,307237,304979,302848,300679,298969,297475,296034,294273,292445,290818,289707,289015,288264,287524,286534,285737,284909,284589,284655,285088,285668,286383,286956,287401,287772,288532,289862,291539,293350,294877,296262,297646,298794,299788,300324,301394,302461,303508,304054,304370,304506,304388,304179,303832,303777,304046,304824,305054,305353,305422,305746,305837,305984,306341,306724,307255,307624,307613,307609,307543,307758,307862,308319,308879,309413,309838,310421,310967,311572,312391,313064,314192,314908,316244,316975,318094,319272,320626,321801,322976,324210,325638,327152,328474,329979,331019,332255,332996,333565,334076,334573,335170,335580,335985,336421,337076,337630,338788,339902,341124,341236,340715,340008,339709,340156,341258,342744,344319,345910,347313,349069,351188,354533,358690,363395,368133,372788,377346,382096
Virginia,120648,120587,120587,120553,120493,120417,120357,120404,120514,120676,120807,120938,121008,121153,121249,121419,121550,121706,121907,122066,122265,122404,122655,122859,123210,123483,123780,123944,124326,124727,125107,125408,125563,125782,125943,126286,126590,126974,127378,127938,128459,129118,129733,130312,130934,131582,132310,133003,133762,134641,135501,136304,136993,137623,138380,139286,140265,141221,142197,143244,144340,145288,146287,147254,148355,149381,150431,151430,152486,153559,154743,155916,157132,158374,159623,160916,162137,163487,164780,166166,167534,168986,170454,171939,173405,174940,176461,178017,179512,181004,182555,184168,185898,187945,190124,192374,194559,197023,199689,202540,205632,209088,212904,216973,221008,224725,228148,231781,235640,239245,242909,246839,251448,255854,259947,263599,267425,270986,274450,277279,279899,282376,284688,286345,287242,287819,288491,288927,288680,288185,287726,287649,287482,287423,287286,287343,286875,285921,284493,283309,282357,281387,280126,278364,276517,274393,271957,269156,266407,264236,262111,259853,257576,255669,253879,252074,249982,248055,246272,244705,243432,242267,241545,240886,240272,239583,239245,239155,239426,239614,239896,240176,240351,240129,239379,238536,237799,237119,236181,235285,234346,233379,232316,231419,230636,230124,229739,229589,229231,228747,228215,227934,227686,227801,227997,228295,228657,228989,229434,229726,230180,230947,231973,232796,233615,234312,235188,235958,236667,237351,238131,239077,240133,240882,241565,242189,243059,243667,244139,244437,244684,245034,245384,245641,245765,246006,246271,246560,246543,246957,247390,247826,248198,248484,248809,249114,249489,249884,250152,250447,250840,250905,251037,251411,252152,252880,253551,254209,254925,255587,256423,257380,258339,259420,260260,261139,261683,262389,262989,263745,264450,265271,266145,266821,267649,268182,269073,269759,270780,271653,272536,273165,273687,274206,274825,275748,276686,277904,279030,280133,280949,281768,282606,283617,284626,285591,286079,286515,286981,287982,288982,290218,291528,293023,294675,296441,298432,300614,303301,306131,309134,311877
Washington,140335,140340,140363,140420,140541,140869,141257,141726,142112,142587,143157,143806,144346,144920,145568,146467,147395,148043,148641,149092,149640,150207,150805,151542,152715,153919,155095,155750,156444,157176,158094,159211,160600,161784,162802,163555,163958,164424,164937,165929,166739,167868,168758,169727,170489,171568,172715,173759,174709,175675,176615,177539,178562,179360,180272,180942,181647,182166,182806,183578,184512,185394,186222,186972,187617,188317,188902,189632,190303,191100,191803,192737,193448,194208,194782,195314,195702,196077,196618,197181,197803,198431,199178,199663,200348,201083,202150,203143,204237,205186,206196,207354,208687,210086,211332,212697,214229,215919,217517,219170,221087,223171,225143,226884,228735,230823,233275,236108,239078,241672,244467,247412,250698,254476,258640,263261,267648,271782,275957,279904,283524,287283,290707,294337,297738,300919,303860,306350,308721,311043,312886,314316,315437,316744,318448,320465,321990,322797,322798,322893,322735,321826,320413,319050,317729,316348,314633,312321,309428,306439,303661,300634,297501,294564,291690,288686,286234,283390,280359,276133,272721,269997,268416,267073,265918,265261,264908,264556,263165,261773,260572,260790,261156,260470,258503,255870,253632,251104,248639,246198,244306,242912,241015,238710,235308,232739,230504,229090,227456,225977,224523,223358,222635,221596,221293,221151,222101,223210,224612,225995,227430,229128,231153,233167,234741,236526,238673,241168,243710,245684,247867,249934,252272,254089,255504,256769,258310,260162,261230,262193,262708,264238,265490,266586,267380,268722,270269,272080,274079,275599,277571,279378,281927,283901,285866,288403,291093,293861,296454,298992,301330,304069,306783,309566,311942,314561,317499,320143,322922,325416,328469,331494,334555,337512,340505,343877,347275,350816,354412,357865,360920,364133,367115,370690,374127,378116,381762,385316,388503,391064,392737,393817,395262,396657,397863,398430,399246,399451,399549,399713,401687,404077,406531,407832,409041,409950,411874,414809,418508,422052,425612,429139,431989,435031,438713,443959,449495,455614,461376,466865,472028,478015
Massachusetts,153804,153793,153906,154112,154350,154606,154978,155477,155950,156520,157073,157673,157815,158065,158259,158809,159433,160123,160760,161435,162202,163005,163798,164762,166214,167724,169264,170451,171609,172797,173876,174991,176223,177536,179078,180310,182055,183886,186004,188007,189979,191899,194155,195864,197647,199079,200762,202815,204825,207154,209182,211287,213402,215587,217873,220659,223636,226674,229515,232443,235360,238132,240963,243868,246828,249929,252947,256103,258864,261755,264560,267279,269863,272292,274900,277504,280286,283208,286536,289774,293185,296927,300822,304610,307897,311156,314362,317652,320847,323823,326208,328584,330889,333192,335522,338039,340797,343477,346067,348687,351364,354194,357398,360658,364000,366873,369585,372146,374665,377651,380325,382906,384906,386370,387703,388654,390004,391203,392219,392306,392075,391044,390154,389058,388087,387013,385190,383203,380592,378396,376038,374207,372892,372013,371330,370232,368800,367127,365633,364299,363173,361639,360126,358436,356298,353888,351299,348894,346663,344635,342690,340686,338305,335910,333390,330843,328372,325931,323679,321659,320319,319255,318737,318390,318773,319274,320011,320708,321713,323082,324221,325124,325265,325203,324456,323564,322139,320954,319786,319017,318049,316571,314672,312895,311313,310255,309327,308595,307671,306368,304932,303590,302627,301639,301397,301450,302116,302487,302998,303437,304061,305261,307101,309257,310860,313300,315424,317706,319418,321242,323299,325458,328167,330665,332598,333594,334580,335193,336479,337934,339360,340525,341300,342154,342487,342693,343246,344853,346963,348685,349825,350078,350729,351417,353040,354707,356237,357876,358872,359733,360692,362513,364302,366334,368107,369866,370743,371814,373555,375560,377956,379852,381496,382455,383680,385699,387993,390518,393086,395092,397059,398557,400705,402609,404749,407298,409794,411713,413294,415122,417045,418391,418814,419252,419434,420290,420914,421271,421065,421495,422692,424551,425321,425557,425732,426102,426687,427621,429775,432001,434408,436226,438382,440195,443182,447370,452475,457983,463792,469558,474984,481088
Indiana,110692,110703,110272,109954,109841,110141,110339,110165,110036,109119,108239,107048,106502,105889,105808,105407,104971,104775,104855,105331,105123,105942,106644,107700,107941,108125,108384,108860,108871,107379,105669,104548,104680,105045,105375,105885,106044,106138,106017,105924,105982,106608,107225,106781,105942,104491,103445,102105,101534,101434,101437,101151,100987,101032,101382,101947,102409,103035,103647,104323,104795,104889,105004,105191,105444,105589,105638,105893,106102,106435,106575,106824,106843,106955,106945,107021,107096,107268,107414,107426,107464,107556,107760,107942,108046,108149,108256,108511,108685,108863,109021,109251,109530,109793,110046,110280,110444,110568,110784,111081,111468,111738,112014,112361,112709,113091,113437,113826,114704,115672,116716,117260,117741,118228,118755,119171,119518,119775,120037,120243,120211,120163,120026,120156,120352,120671,120997,121331,121702,122057,122271,122458,122530,122655,122708,122863,122894,122857,122757,122732,122704,122674,122806,123023,123194,123189,123102,122879,122688,122492,122359,122123,121842,121609,121287,120802,120406,120007,119765,119440,119202,118940,118618,118330,118139,117981,117939,117951,117934,117992,117949,118032,117981,117944,117772,117471,117011,116539,116063,115705,115393,115020,114666,114219,113828,113493,113375,113452,113587,113641,113632,113504,113350,113235,113225,113290,113398,113417,113397,113318,113333,113470,113507,113605,113698,113936,114113,114344,114582,114893,115170,115456,115696,115887,116203,116564,116987,117350,117764,118114,118432,118707,119086,119467,119833,120198,120579,120949,121220,121456,121675,121985,122281,122581,122723,122895,123132,123401,123756,124143,124676,125141,125492,125777,126160,126701,127398,128060,128729,129339,129858,130297,130737,131349,132098,132929,133733,134458,135048,135710,136364,137241,138078,138958,139634,140385,141264,142253,143163,144093,145118,146082,146859,147404,148095,148949,150027,150813,151528,152056,152839,153563,154296,155029,155833,156652,157223,157650,158193,158961,159776,160616,161449,162419,163455,164610,165917,167401,169142,171040,172916,174901
Arizona,107175,107479,107828,108463,109057,109592,110082,110538,110973,111416,111825,112207,112542,112910,113200,113520,113856,114192,114524,114846,115220,115580,115990,116433,117010,117538,118032,118423,118831,119276,119816,120437,121023,121595,122131,122683,123053,123451,123914,124537,125176,126002,126763,127493,128122,128734,129362,129908,130610,131310,132066,132778,133504,134047,134637,135192,135883,136520,137145,137802,138480,139161,139796,140391,140985,141561,142089,142603,143166,143801,144503,145149,145727,146244,146830,147415,147975,148607,149253,149980,150561,151221,151912,152742,153599,154429,155181,155930,156622,157267,157805,158442,159333,160324,161310,162296,163476,164620,165942,167215,168770,170170,172012,174249,176462,179058,181870,185782,190312,195001,199458,204491,210526,218168,226455,234498,242932,249899,256913,261543,264482,268228,272286,276227,277763,277887,276877,275481,273388,272199,270522,269345,268411,267468,266757,266148,265166,263461,261405,259644,257448,254920,251061,247552,243709,238807,233538,227350,223209,218718,214313,208851,203943,199629,195710,191499,187936,185195,182176,178976,175160,172319,170353,168597,167152,165090,164553,164196,163879,162612,161452,161096,160345,159434,157199,155597,153450,151999,149904,147883,145807,144191,143146,141368,139679,137757,136878,136303,136051,136087,136140,137065,137737,138991,139881,142064,144806,147712,150304,152863,155903,158579,161504,163152,165317,166627,168881,170710,172625,174953,177677,179947,181833,183403,184288,185800,187444,189900,190647,190657,190516,190721,190612,190700,190493,190942,191991,193194,193615,193820,195208,197081,198775,199705,200999,202215,203674,204536,205241,206052,207668,208936,209791,210613,211626,212717,213331,214369,215482,217063,218612,219872,220823,221968,223320,224601,225782,227208,228937,230147,231436,232721,234244,235587,237052,238791,240428,242010,243642,245276,246771,248047,249415,250532,251485,252337,253332,254463,255472,256096,257246,258901,260814,262494,263711,265126,266496,268361,269836,271808,274114,277528,280304,282919,285676,289192,293384,297926,302958,308132,314038,319888
Tennessee,91522,91704,91925,92357,92808,93271,93747,94210,94610,94973,95352,95745,96077,96452,96837,97293,97692,98037,98371,98708,99128,99553,99979,100381,100994,101581,102115,102408,102725,103059,103350,103668,104024,104469,104820,105153,105246,105346,105435,105733,106072,106496,106953,107378,107690,107936,108263,108585,108915,109246,109579,109936,110230,110474,110727,110962,111268,111534,111862,112253,112745,113116,113465,113732,114031,114288,114510,114802,115082,115393,115613,115772,115905,116102,116322,116510,116703,116913,117153,117336,117527,117742,117985,118247,118461,118714,118940,119213,119486,119780,120045,120325,120610,120916,121231,121551,121933,122304,122705,123101,123484,123862,124253,124678,125139,125644,126175,126734,127337,127984,128668,129358,130077,130824,131640,132447,133273,134038,134834,135637,136418,137180,137871,138568,139236,139934,140628,141353,142044,142726,143349,143917,144403,144836,145285,145710,146108,146438,146708,146902,146957,146891,146707,146469,146082,145661,145251,144981,144760,144471,144064,143527,142987,142497,142017,141517,141101,140732,140263,139562,138737,137995,137381,136958,136641,136424,136236,136127,136103,136018,135989,135928,135943,135831,135632,135293,134885,134427,133980,133482,132832,132265,131667,131235,130759,130415,130086,129816,129533,129232,128970,128752,128677,128596,128617,128638,128751,128808,128952,129072,129257,129405,129533,129717,129947,130276,130637,131047,131377,131744,132081,132580,133132,133807,134505,135104,135618,136003,136321,136583,136909,137318,137737,138081,138340,138547,138724,139067,139517,140059,140579,141122,141797,142433,143045,143634,144288,145014,145789,146464,147190,147934,148725,149419,149992,150572,151286,152070,152979,153888,154872,155865,156734,157502,158399,159490,160657,161808,162913,164011,164966,165886,166829,167841,168845,169965,170973,172009,172988,174061,175169,176208,177216,178170,178946,179696,180506,181307,182083,182803,183645,184468,185260,186124,187051,187987,188842,189673,190474,191585,192841,194207,195479,196820,198279,199825,201478,203280,205362,207597,209975,212236
Missouri,83800,84007,84174,84499,84762,84996,85208,85441,85704,86034,86352,86642,86832,86953,87094,87298,87582,87882,88204,88504,88807,89012,89217,89421,89740,90079,90395,90680,90986,91317,91662,91922,92114,92355,92680,93073,93471,93919,94388,94787,95111,95436,95754,96246,96742,97139,97398,97698,98161,98636,99110,99630,100196,100747,101328,101940,102562,103237,103979,104655,105163,105574,106114,106753,107424,108083,108719,109287,109849,110429,111050,111715,112396,113112,113726,114292,114818,115380,115956,116497,117086,117689,118293,118820,119361,119987,120645,121300,121923,122547,123119,123751,124392,125058,125646,126267,126866,127388,127845,128253,128726,129220,129802,130308,130742,131119,131588,132113,132680,133235,133819,134423,135077,135698,136273,136864,137463,138059,138594,139100,139546,139956,140324,140723,141061,141410,141732,142031,142346,142673,143047,143320,143510,143581,143636,143688,143703,143700,143672,143632,143490,143221,142837,142452,142147,141958,141701,141261,140813,140399,140027,139593,139208,138834,138245,137567,136917,136442,135967,135441,134844,134252,133689,133291,132921,132703,132772,132982,132991,132677,132506,132528,132554,132288,131813,131197,130452,129685,128811,127986,127191,126531,125651,124675,123730,123092,122699,122322,122041,121698,121375,120955,120598,120384,120413,120615,120797,120836,120768,120807,121013,121128,121401,121691,122270,122641,122931,123009,123152,123410,123745,124059,124245,124610,124886,125247,125480,125802,126108,126456,126906,127357,127776,128132,128463,128775,129126,129419,129581,129762,130072,130614,131103,131590,132027,132521,133013,133471,133851,134387,134951,135592,136124,136607,137182,137792,138493,139126,139775,140488,141310,142003,142719,143434,144208,144922,145470,146045,146605,147289,148125,148948,149728,150427,151131,151786,152564,153435,154398,155223,156004,156744,157288,157802,158290,159000,159811,160625,161301,161863,162572,163232,163757,163972,164271,164619,165029,165430,166037,166760,167576,168333,169098,170047,171205,172688,174266,175931,177685,179488,181219,183031
Maryland,151501,151482,151476,151508,151626,151720,151762,151720,151763,151841,151951,152066,152003,151969,151902,151984,151992,152096,152303,152575,152695,152812,152928,153004,153228,153447,153804,153948,154073,154097,154077,154189,154410,154571,154623,154786,155173,155739,156222,156676,157047,157483,157978,158469,158974,159566,160376,161146,161843,162290,162815,163314,164017,164683,165413,166019,166689,167476,168298,169205,169988,170888,171749,172813,173763,174807,175812,176998,178228,179427,180721,182062,183612,185158,186813,188476,190357,192228,194218,196194,198173,200188,202209,204416,206633,208973,211395,213752,216082,218401,220746,223073,225644,228515,231493,234336,237178,240314,243479,246777,250135,253899,257836,262190,266801,271236,275845,280286,285184,289722,294172,298892,303921,309462,315100,320741,325665,330685,334950,339713,343359,347144,350778,354438,357768,360098,362103,363298,364192,364502,365197,365360,365546,365255,365196,364870,364481,363752,362906,361901,360997,359400,356615,353518,350870,348694,346114,342946,338907,334353,329502,324975,320778,316930,313859,310724,307209,303259,299095,295113,291515,288982,286863,285328,283591,282257,281113,280384,279928,278960,278049,277342,277327,276859,276046,274412,272833,271043,268988,266865,264940,263865,263036,261953,260322,258837,257401,256262,255074,254349,253771,253269,252458,251745,251302,251242,251339,251580,252124,252859,253631,254199,254853,255784,257113,258387,259755,261080,262841,264448,266113,267550,269183,270730,272388,273568,274655,275569,276075,276694,276637,276953,276936,277296,277346,277534,277759,277898,277864,277782,278228,278293,278588,278561,278868,279034,279232,279393,279205,279689,280234,281062,281492,282270,283346,284203,285175,285866,287086,288035,289182,289950,291074,292042,293030,293745,294249,295050,295490,296419,297235,298515,299783,300971,301513,302247,303048,304449,305615,306705,307660,308177,308432,308539,308930,309491,310550,311304,311740,311840,312386,313114,313409,313546,313557,313719,313740,313880,314713,315404,316572,317390,318628,319934,321952,324481,327545,330810,334398,338230,341806,346091
Wisconsin,97024,97169,97272,97572,97923,98409,98891,99350,99744,100145,100567,100992,101385,101727,102134,102468,102839,103043,103278,103490,103768,104082,104305,104537,104706,105036,105392,105831,106107,106339,106554,106895,107315,107668,108083,108463,109024,109594,110190,110789,111323,111883,112386,112831,113224,113666,114291,114990,115692,116157,116616,116915,117402,117882,118469,119049,119622,120191,120682,121178,121638,122219,122811,123515,124130,124745,125334,125908,126491,127027,127611,128193,128829,129452,130022,130567,131047,131530,131959,132448,132949,133540,134195,134904,135608,136290,137066,137769,138514,139238,140012,140990,142029,143153,143966,144721,145595,146680,147731,148775,149904,151116,152398,153338,154257,155092,156164,157259,158021,158616,159248,160207,161287,162390,163476,164539,165417,166115,166736,167285,167808,168391,168877,169259,169435,169495,169510,169584,169784,170025,170247,170375,170756,171008,171354,171397,171374,171195,170895,170678,170502,170527,170538,170520,170493,169973,169199,168116,167355,166816,166392,165836,165196,164265,163250,162228,160700,159710,158761,158507,157855,157267,156633,156296,155994,155733,155424,155148,155245,155435,155620,155558,155389,154887,154234,153106,151765,150574,149457,148593,147638,146675,145618,144427,143231,142305,141450,141037,140767,140559,140327,139973,139644,139276,138934,138688,138681,138725,138901,138869,138884,138755,138816,138830,139026,138916,139181,139666,140510,141193,141806,142513,143353,144175,144751,145189,145586,146244,146975,147356,147514,147717,148145,148426,148504,148598,148884,149353,149791,150321,150626,151151,151484,151768,151919,152125,152473,152928,153534,154157,154741,155273,155743,156277,156973,157907,158770,159770,160802,161906,162793,163602,164448,165311,166200,167111,167997,168952,169913,170883,171714,172457,173337,174428,175702,176805,177963,178966,180169,181102,182008,182670,183476,184251,185002,185649,186217,187101,188055,189117,189959,190793,191621,192415,193053,193848,194392,195163,195885,196911,197783,198718,199758,201025,202419,204070,205917,207800,210014,212212,214625,216861
Minnesota,104026,103862,103798,103740,103829,104070,104327,104713,105050,105466,105899,106361,106756,107272,107864,108514,109009,109406,109830,110239,110701,111164,111641,112216,112889,113551,114133,114566,115103,115556,116178,116777,117684,118534,119375,120107,120996,122130,123422,124772,126089,127568,128825,129793,130518,131391,132684,134064,135404,136669,137805,139103,140356,141698,143108,145043,146875,148698,150104,151786,153375,154939,156601,158325,159909,161442,163005,164620,166342,168100,169802,171116,172336,173519,174728,175825,177180,178467,179802,180878,182004,183120,184383,185827,187325,188728,190071,191270,192510,193631,194885,196163,197502,198756,200041,201282,202428,203662,204993,206452,207787,209246,210631,211996,213216,214374,215404,216474,217790,219158,220322,221526,222754,223898,224881,225665,226641,227471,228447,229085,229528,229796,230078,230280,230346,230418,230393,230289,229887,229577,229216,229145,229104,229159,228981,228517,227719,226681,225531,224706,223942,223248,222117,220592,218834,216784,215015,213260,211620,210006,208342,206436,204523,202590,200879,199248,197581,195943,193791,191923,190391,189437,188752,188364,188005,187556,187047,186969,186967,187219,187562,187869,187977,187447,186603,185106,183433,181765,180398,178736,177171,175378,173897,172219,170562,169044,167779,166996,166367,165753,165025,164400,163953,163880,164105,164659,165145,165910,166735,167765,168953,170406,171996,173587,175005,176020,176768,177539,179083,180800,182726,184493,186241,187879,189220,190360,191578,192874,194395,195691,196646,197222,197461,197506,197452,197410,197575,198074,198545,199476,200296,201364,202082,202764,203484,204291,205277,206228,207310,208363,209646,210729,211698,212373,213030,213957,215182,216689,218023,219424,220634,221778,222727,223717,224940,226468,228200,229800,231140,232108,233124,234052,235341,236760,238348,239949,241544,242987,244203,245212,246185,247350,248367,249382,250162,251038,251941,252849,253482,254196,255156,256472,257719,258573,259450,260182,260855,261592,262302,263360,264496,265813,266978,268105,269470,271243,273199,275427,277903,280416,283092,285690
Colorado,140505,140968,141348,142121,142803,143486,144155,144841,145496,146118,146732,147344,147945,148450,149000,149640,150372,151045,151619,152183,152810,153541,154318,155082,155903,156637,157359,157892,158528,159163,160092,161126,162294,163379,164356,165388,166387,167707,169101,170663,172170,174005,175709,177164,178269,179471,180965,182573,184291,186014,187708,189577,191447,193366,195225,197339,199635,201936,204161,206361,208705,210800,212776,214495,216196,217669,219175,220695,222078,223279,224237,225110,225662,226302,226997,227778,228603,229317,230002,230386,230883,231413,231913,232170,232397,232662,233064,233323,233357,233373,233463,233700,234059,234344,234837,235318,235815,236318,236731,237252,237781,238414,238993,239553,239915,240382,240819,241489,242194,242825,243434,244023,244633,245188,245780,246343,247049,247854,248664,249284,249893,250379,250759,250932,251231,251451,251568,251731,251767,251665,251469,251523,251621,251580,251581,251737,252025,252278,252520,252506,252120,251477,250710,249799,248681,247624,246549,245578,244460,243474,242480,241631,241043,240537,239856,239008,238109,237486,236951,236526,236214,235918,235608,235327,235124,235057,235234,235552,236041,236395,236631,236497,236110,235405,234626,233698,232704,231762,230836,229933,229004,228044,227145,226373,225446,224744,224066,223894,223863,223915,224016,224197,224503,224865,225308,226064,227325,228837,230462,231729,233085,234445,235937,237333,238945,240685,242712,244480,246145,247702,249500,251592,253486,255208,256702,258371,259794,261235,262441,263873,265401,267086,268757,270205,271855,273813,276143,278616,281396,284223,287059,289753,292691,295632,298552,301574,304716,307797,310614,313238,315551,317901,320361,323113,325582,327948,330446,333036,335388,337556,339959,342385,345130,347869,350744,353173,355445,357669,359664,361566,363585,365874,368019,370581,372932,375198,377232,379707,382572,385295,387743,389795,391697,393549,395484,396725,397500,398455,399270,400067,400525,401514,402618,403719,404668,405220,405711,406720,408493,410022,411621,413300,415481,417556,419973,422890,426283,430285,434662,439257,443927,449182
Alabama,85518,85622,85707,85832,85902,86008,86149,86365,86499,86631,86733,86924,87037,87165,87291,87638,88078,88515,88864,89178,89578,90028,90517,90955,91521,92006,92469,92732,92990,93239,93624,93924,94311,94642,94980,95224,95488,95792,96140,96409,96732,96995,97217,97490,97770,98078,98448,98801,99085,99348,99620,100012,100362,100755,101071,101392,101691,102011,102345,102773,103292,103703,104068,104319,104575,104818,105105,105366,105643,105947,106199,106362,106456,106627,106788,106970,107195,107444,107707,107943,108181,108411,108642,108907,109160,109485,109825,110236,110539,110779,110979,111258,111561,111799,112004,112199,112489,112795,113171,113507,113920,114395,114930,115414,115867,116345,116900,117490,118000,118388,118660,118961,119353,119827,120362,120882,121484,122194,123100,124039,125053,125942,126925,127828,128791,129671,130529,131414,132169,132828,133181,133517,133754,134307,134853,135475,135713,135829,135802,135907,135985,136069,136044,136008,135814,135550,135218,134968,134841,134819,134758,134467,134158,133671,133324,132787,132379,131780,131238,130530,129900,129211,128665,128131,127607,127167,126827,126606,126420,126233,125810,125361,124815,124327,123705,123111,122600,122183,121658,121040,120263,119603,119117,118801,118530,118257,117988,117735,117409,117052,116614,116338,116282,116272,116263,116094,116049,115974,116002,115985,116072,116172,116414,116588,116769,116915,117130,117335,117400,117479,117579,117817,118023,118229,118414,118636,118779,118895,118944,119129,119439,119799,120099,120348,120522,120741,120959,121147,121345,121547,121835,122045,122233,122397,122638,122840,123107,123276,123436,123622,123907,124273,124604,124978,125286,125631,125867,126150,126388,126775,127227,127669,127988,128246,128539,128875,129235,129510,129837,130247,130801,131301,131698,132221,132770,133368,133890,134444,135059,135750,136480,137113,137654,138140,138690,139123,139618,140124,140662,141161,141673,142353,143060,143671,144116,144613,145228,146004,146775,147571,148393,149271,150206,151059,151939,153006,154307,155690,157059,158427,159865,161377
